name,temperament,origin,country_code,description,life_span,indoor,alt_names,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,experimental,hairless,natural,rare,rex,suppressed_tail,short_legs,wikipedia_url,hypoallergenic,image,weight_lb,weight_kg
Havana Brown,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",United Kingdom,GBR,"The Havana Brown is human oriented, playful, and curious. She has a strong desire to spend time with her people and involve herself in everything they do. Being naturally inquisitive, the Havana Brown reaches out with a paw to touch and feel when investigating curiosities in its environment. They are truly sensitive by nature and frequently gently touch their human companions as if they are extending a paw of friendship.",10-15,0.0,"Havana, HB",5.0,5.0,4.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Havana_Brown,0.0,https://cdn2.thecatapi.com/images/njK25knLH.jpg,6-10,3-5
Himalayan,"Dependent, Gentle, Intelligent, Quiet, Social",United States,USA,"Calm and devoted, Himalayans make excellent companions, though they prefer a quieter home. They are playful in a sedate kind of way and enjoy having an assortment of toys. The Himalayan will stretch out next to you, sleep in your bed and even sit on your lap when she is in the mood.",9-15,0.0,"Himalayan Persian, Colourpoint Persian, Longhaired Colourpoint, Himmy",5.0,5.0,2.0,2.0,1.0,5.0,3.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Himalayan_(cat),0.0,https://cdn2.thecatapi.com/images/CDhOtM-Ig.jpg,7-14,3-6
Japanese Bobtail,"Active, Agile, Clever, Easy Going, Intelligent, Lively, Loyal, Playful, Social",Japan,JPN,"The Japanese Bobtail is an active, sweet, loving and highly intelligent breed. They love to be with people and play seemingly endlessly. They learn their name and respond to it. They bring toys to people and play fetch with a favorite toy for hours. Bobtails are social and are at their best when in the company of people. They take over the house and are not intimidated. If a dog is in the house, Bobtails assume Bobtails are in charge.",14-16,0.0,Japanese Truncated Cat,5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/Japanese_Bobtail,0.0,https://cdn2.thecatapi.com/images/-tm9-znzl.jpg,5-10,2-5
Javanese,"Active, Devoted, Intelligent, Playful",United States,USA,"Javanese are endlessly interested, intelligent and active. They tend to enjoy jumping to great heights, playing with fishing pole-type or other interactive toys and just generally investigating their surroundings. He will attempt to copy things you do, such as opening doors or drawers.",10-12,0.0,,4.0,5.0,4.0,4.0,5.0,1.0,3.0,5.0,2.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Javanese_cat,1.0,https://cdn2.thecatapi.com/images/xoI_EpOKe.jpg,5-10,2-5
Khao Manee,"Calm, Relaxed, Talkative, Playful, Warm",Thailand,THA,"The Khao Manee is highly intelligent, with an extrovert and inquisitive nature, however they are also very calm and relaxed, making them an idea lap cat.",10-12,0.0,Diamond Eye cat,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Khao_Manee,0.0,https://cdn2.thecatapi.com/images/165ok6ESN.jpg,8-12,4-6
Korat,"Active, Loyal, highly intelligent, Expressive, Trainable",Thailand,THA,"The Korat is a natural breed, and one of the oldest stable cat breeds. They are highly intelligent and confident cats that can be fearless, although they are startled by loud sounds and sudden movements. Korats form strong bonds with their people and like to cuddle and stay nearby.",10-15,0.0,,5.0,5.0,4.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Korat,0.0,https://cdn2.thecatapi.com/images/DbwiefiaY.png,7-11,3-5
Kurilian,"Independent, highly intelligent, clever, inquisitive, sociable, playful, trainable",Russia,RUS,"The character of the Kurilian Bobtail is independent, highly intelligent, clever, inquisitive, sociable, playful, trainable, absent of aggression and very gentle. They are devoted to their humans and when allowed are either on the lap of or sleeping in bed with their owners.",15-20,0.0,,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/Kurilian_Bobtail,0.0,https://cdn2.thecatapi.com/images/NZpO4pU56M.jpg,8-15,4-7
LaPerm,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",Thailand,THA,"LaPerms are gentle and affectionate but also very active. Unlike many active breeds, the LaPerm is also quite content to be a lap cat. The LaPerm will often follow your lead; that is, if they are busy playing and you decide to sit and relax, simply pick up your LaPerm and sit down with it, and it will stay in your lap, devouring the attention you give it.",10-15,0.0,Si-Sawat,5.0,5.0,4.0,5.0,4.0,1.0,1.0,5.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/LaPerm,1.0,https://cdn2.thecatapi.com/images/aKbsEYjSl.jpg,6-10,3-5
Maine Coon,"Adaptable, Intelligent, Loving, Gentle, Independent",United States,USA,"They are known for their size and luxurious long coat Maine Coons are considered a gentle giant. The good-natured and affable Maine Coon adapts well to many lifestyles and personalities. She likes being with people and has the habit of following them around, but isn’t needy. Most Maine Coons love water and they can be quite good swimmers.",12-15,0.0,"Coon Cat, Maine Cat, Maine Shag, Snowshoe Cat, American Longhair, The Gentle Giants",5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Maine_Coon,0.0,https://cdn2.thecatapi.com/images/OOD3VXAQn.jpg,12-18,5-8
Malayan,"Affectionate, Interactive, Playful, Social",United Kingdom,GBR,"Malayans love to explore and even enjoy traveling by way of a cat carrier. They are quite a talkative and rather loud cat with an apparent strong will. These cats will make sure that you give it the attention it seeks and always seem to want to be held and hugged. They will constantly interact with people, even strangers. They love to play and cuddle.",12-18,0.0,Asian,5.0,5.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Asian_cat,0.0,https://upload.wikimedia.org/wikipedia/commons/a/a1/BrownVarientAsianCat.JPG,6-13,3-6
Manx,"Easy Going, Intelligent, Loyal, Playful, Social",Isle of Man,IMN,"The Manx is a placid, sweet cat that is gentle and playful. She never seems to get too upset about anything. She is a loving companion and adores being with people.",12-14,0.0,"Manks, Stubbin, Rumpy",5.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/Manx_(cat),0.0,https://cdn2.thecatapi.com/images/fhYh2PDcC.jpg,7-13,3-6
Munchkin,"Agile, Easy Going, Intelligent, Playful",United States,USA,The Munchkin is an outgoing cat who enjoys being handled. She has lots of energy and is faster and more agile than she looks. The shortness of their legs does not seem to interfere with their running and leaping abilities.,10-15,0.0,,5.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://en.wikipedia.org/wiki/Munchkin_(cat),0.0,https://cdn2.thecatapi.com/images/j5cVSqLer.jpg,5-9,2-4
Nebelung,"Gentle, Quiet, Shy, Playful",United States,USA,"The Nebelung may have a reserved nature, but she loves to play (being especially fond of retrieving) and enjoys jumping or climbing to high places where she can study people and situations at her leisure before making up her mind about whether she wants to get involved.",11-16,0.0,Longhaired Russian Blue,5.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Nebelung,0.0,https://cdn2.thecatapi.com/images/OGTWqNNOt.jpg,7-11,3-5
Norwegian Forest Cat,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious",Norway,NOR,"The Norwegian Forest Cat is a sweet, loving cat. She appreciates praise and loves to interact with her parent. She makes a loving companion and bonds with her parents once she accepts them for her own. She is still a hunter at heart. She loves to chase toys as if they are real. She is territorial and patrols several times each day to make certain that all is fine.",12-16,0.0,"Skogkatt / Skaukatt, Norsk Skogkatt / Norsk Skaukatt, Weegie",5.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Norwegian_Forest_Cat,0.0,https://cdn2.thecatapi.com/images/06dgGmEOV.jpg,8-16,4-7
Ocicat,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",United States,USA,"Loyal and devoted to their owners, the Ocicat is intelligent, confident, outgoing, and seems to have many dog traits. They can be trained to fetch toys, walk on a lead, taught to 'speak', come when called, and follow other commands. ",12-14,0.0,,5.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Ocicat,1.0,https://cdn2.thecatapi.com/images/JAx-08Y0n.jpg,7-15,3-7
Oriental,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",United States,USA,"Orientals are passionate about the people in their lives. They become extremely attached to their humans, so be prepared for a lifetime commitment. When you are not available to entertain her, an Oriental will divert herself by jumping on top of the refrigerator, opening drawers, seeking out new hideaways.",12-14,0.0,Foreign Type,5.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Oriental_Shorthair,1.0,https://cdn2.thecatapi.com/images/LutjkZJpH.jpg,5-10,2-5
Persian,"Affectionate, loyal, Sedate, Quiet",Iran (Persia),IRN,"Persians are sweet, gentle cats that can be playful or quiet and laid-back. Great with families and children, they absolutely love to lounge around the house. While they don’t mind a full house or active kids, they’ll usually hide when they need some alone time.",14-15,0.0,"Longhair, Persian Longhair, Shiraz, Shirazi",5.0,5.0,2.0,2.0,1.0,5.0,3.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Persian_(cat),0.0,https://cdn2.thecatapi.com/images/-Zfz5z2jK.jpg,9-14,4-6
Pixie-bob,"Affectionate, Social, Intelligent, Loyal",United States,USA,"Companionable and affectionate, the Pixie-bob wants to be an integral part of the family. The Pixie-Bob’s ability to bond with their humans along with their patient personas make them excellent companions for children.",13-16,0.0,,5.0,5.0,4.0,5.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/Pixiebob,0.0,https://cdn2.thecatapi.com/images/z7fJRNeN6.jpg,8-17,4-8
Ragamuffin,"Affectionate, Friendly, Gentle, Calm",United States,USA,"The Ragamuffin is calm, even tempered and gets along well with all family members. Changes in routine generally do not upset her. She is an ideal companion for those in apartments, and with children due to her patient nature.",12-16,0.0,,5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Ragamuffin_cat,0.0,https://cdn2.thecatapi.com/images/SMuZx-bFM.jpg,8-20,4-9
Ragdoll,"Affectionate, Friendly, Gentle, Quiet, Easygoing",United States,USA,"Ragdolls love their people, greeting them at the door, following them around the house, and leaping into a lap or snuggling in bed whenever given the chance. They are the epitome of a lap cat, enjoy being carried and collapsing into the arms of anyone who holds them.",12-17,0.0,Rag doll,5.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Ragdoll,0.0,https://cdn2.thecatapi.com/images/oGefY4YoG.jpg,12-20,5-9
Russian Blue,"Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet",Russia,RUS,Russian Blues are very loving and reserved. They do not like noisy households but they do like to play and can be quite active when outdoors. They bond very closely with their owner and are known to be compatible with other pets.,10-16,0.0,"Archangel Blue, Archangel Cat",3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Russian_Blue,1.0,https://cdn2.thecatapi.com/images/Rhj-JsTLP.jpg,5-11,2-5
Savannah,"Curious, Social, Intelligent, Loyal, Outgoing, Adventurous, Affectionate",United States,USA,"Savannah is the feline version of a dog. Actively seeking social interaction, they are given to pouting if left out. Remaining kitten-like through life. Profoundly loyal to immediate family members whilst questioning the presence of strangers. Making excellent companions that are loyal, intelligent and eager to be involved.",17-20,0.0,,5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Savannah_cat,0.0,https://cdn2.thecatapi.com/images/a8nIYvs6S.jpg,8-25,4-11
Scottish Fold,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",United Kingdom,GBR,"The Scottish Fold is a sweet, charming breed. She is an easy cat to live with and to care for. She is affectionate and is comfortable with all members of her family. Her tail should be handled gently. Folds are known for sleeping on their backs, and for sitting with their legs stretched out and their paws on their belly. This is called the ""Buddha Position"".",11-14,0.0,Scot Fold,5.0,5.0,4.0,5.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Scottish_Fold,0.0,https://cdn2.thecatapi.com/images/o9t0LDcsa.jpg,5-11,2-5
Selkirk Rex,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",United States,USA,"The Selkirk Rex is an incredibly patient, loving, and tolerant breed. The Selkirk also has a silly side and is sometimes described as clownish. She loves being a lap cat and will be happy to chat with you in a quiet voice if you talk to her. ",14-15,0.0,Shepherd Cat,5.0,5.0,4.0,5.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/Selkirk_Rex,1.0,https://cdn2.thecatapi.com/images/II9dOZmrw.jpg,6-16,3-7
Siamese,"Active, Agile, Clever, Sociable, Loving, Energetic",Thailand,THA,"While Siamese cats are extremely fond of their people, they will follow you around and supervise your every move, being talkative and opinionated. They are a demanding and social cat, that do not like being left alone for long periods.",12-15,0.0,"Siam, Thai Cat",5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Siamese_(cat),1.0,https://cdn2.thecatapi.com/images/ai6Jps4sx.jpg,8-15,4-7
Siberian,"Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate",Russia,RUS,"The Siberians dog like temperament and affection makes the ideal lap cat and will live quite happily indoors. Very agile and powerful, the Siberian cat can easily leap and reach high places, including the tops of refrigerators and even doors. ",12-15,0.0,"Moscow Semi-longhair, HairSiberian Forest Cat",5.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Siberian_(cat),1.0,https://cdn2.thecatapi.com/images/3bkZAjRh1.jpg,8-16,4-7
Singapura,"Affectionate, Curious, Easy Going, Intelligent, Interactive, Lively, Loyal",Singapore,SGP,"The Singapura is usually cautious when it comes to meeting new people, but loves attention from his family so much that she sometimes has the reputation of being a pest. This is a highly active, curious and affectionate cat. She may be small, but she knows she’s in charge",12-15,0.0,"Drain Cat, Kucinta, Pura",5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Singapura_(cat),0.0,https://cdn2.thecatapi.com/images/Qtncp2nRe.jpg,5-8,2-4
Snowshoe,"Affectionate, Social, Intelligent, Sweet-tempered",United States,USA,"The Snowshoe is a vibrant, energetic, affectionate and intelligent cat. They love being around people which makes them ideal for families, and becomes unhappy when left alone for long periods of time. Usually attaching themselves to one person, they do whatever they can to get your attention.",14-19,0.0,,5.0,5.0,4.0,5.0,4.0,3.0,1.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Snowshoe_(cat),0.0,https://cdn2.thecatapi.com/images/MK-sYESvO.jpg,7-12,3-5
Somali,"Mischievous, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal",Somalia,SOM,"The Somali lives life to the fullest. He climbs higher, jumps farther, plays harder. Nothing escapes the notice of this highly intelligent and inquisitive cat. Somalis love the company of humans and other animals.",12-16,0.0,"Fox Cat, Long-Haired Abyssinian",5.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Somali_(cat),0.0,https://cdn2.thecatapi.com/images/EPF2ejNS0.jpg,6-12,3-5
Sphynx,"Loyal, Inquisitive, Friendly, Quiet, Gentle",Canada,CAN,"The Sphynx is an intelligent, inquisitive, extremely friendly people-oriented breed. Sphynx commonly greet their owners  at the front door, with obvious excitement and happiness. She has an unexpected sense of humor that is often at odds with her dour expression.",12-14,0.0,"Canadian Hairless, Canadian Sphynx",5.0,5.0,4.0,5.0,3.0,2.0,4.0,5.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Sphynx_(cat),1.0,https://cdn2.thecatapi.com/images/BDb8ZXb1v.jpg,6-12,3-5
Tonkinese,"Curious, Intelligent, Social, Lively, Outgoing, Playful, Affectionate",Canada,CAN,"Intelligent and generous with their affection, a Tonkinese will supervise all activities with curiosity. Loving, social, active, playful, yet content to be a lap cat",14-16,0.0,Tonk,5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Tonkinese_(cat),0.0,https://cdn2.thecatapi.com/images/KBroiVNCM.jpg,6-12,3-5
Toyger,"Playful, Social, Intelligent",United States,USA,"The Toyger has a sweet, calm personality and is generally friendly. He's outgoing enough to walk on a leash, energetic enough to play fetch and other interactive games, and confident enough to get along with other cats and friendly dogs.",12-15,0.0,,5.0,5.0,4.0,5.0,5.0,1.0,2.0,5.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Toyger,0.0,https://cdn2.thecatapi.com/images/O3F3_S1XN.jpg,7-15,3-7
Turkish Angora,"Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social",Turkey,TUR,"This is a smart and intelligent cat which bonds well with humans. With its affectionate and playful personality the Angora is a top choice for families. The Angora gets along great with other pets in the home, but it will make clear who is in charge, and who the house belongs to",15-18,0.0,Ankara,5.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Turkish_Angora,0.0,https://cdn2.thecatapi.com/images/7CGV6WVXq.jpg,5-10,2-5
Turkish Van,"Agile, Intelligent, Loyal, Playful, Energetic",Turkey,TUR,"While the Turkish Van loves to jump and climb, play with toys, retrieve and play chase, she is is big and ungainly; this is one cat who doesn’t always land on his feet. While not much of a lap cat, the Van will be happy to cuddle next to you and sleep in your bed. ",12-17,0.0,"Turkish Cat, Swimming cat",5.0,5.0,4.0,5.0,5.0,2.0,1.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Turkish_Van,0.0,https://cdn2.thecatapi.com/images/sxIXJax6h.jpg,7-20,3-9
York Chocolate,"Playful, Social, Intelligent, Curious, Friendly",United States,USA,"York Chocolate cats are known to be true lap cats with a sweet temperament. They love to be cuddled and petted. Their curious nature makes them follow you all the time and participate in almost everything you do, even if it's related to water: unlike many other cats, York Chocolates love it.",13-15,0.0,York,5.0,5.0,4.0,5.0,5.0,3.0,1.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/York_Chocolate,0.0,https://cdn2.thecatapi.com/images/0SxW2SQ_S.jpg,12-18,5-8
CatAPI Average,,,,,12.1-15.4,0.01,,4.82,4.87,3.84,4.61,3.91,1.9,2.03,4.36,2.7,4.1,3.73,2.82,0.04,0.04,0.25,0.06,0.07,0.09,0.03,,0.22,,7.0-13.5,3.2-6.2
